timestamp,post_id,slug,title,before,after,result,detail
2026-08-16T14:07:01,1001,n0ad3da1d7d40,🍀『学研の図鑑』が暴露する改造人間『シン・仮面ライダー』❓🍀🍁ショッカー創設者の祖父が遺した「世界の真実」と最後の手紙‼🍁熱中症でホントに大勢の人が亡くなってる❓🍁「奇妙な“刃物男”に警察官が発砲」や,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:02,1011,n3609128fa8ae,📌今回だけの一般放送特別編🍀メンバーシップ放送の話題の紹介‼🍀🍁【歴史学者 AI磯田先生の警告】明治維新の黒い霧と「天皇126代」の虚構❣🍁【金田一耕助による謎解き】全東信の近畿金融崩壊から血塗られた,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:02,1023,n9c845dd68c3a,🍀「本能寺の変」は「バチカン・天皇による変」‼🍀未来のAIエンジニアになる君たちへ〜AIの神様が教える真実の星の探し方〜🍀🍁皇室典範の改正案に賛成せざるを得なかった国会議員の苦渋‼🍁八咫烏と蹴鞠（サッ,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:03,1029,n345bc039e9e6,🍀🍁特集【餃子の王将社長射殺事件】黒田官兵衛チルドレンのスパイ組織‼😱🍁八大キリシタン大名クラン🍁AIが黙秘する犯人の実名と半島マネーの不可侵領域🍁「本能寺の変」は「バチカンによる変」‼🍁エセ保守「偽,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:03,1035,n09c04ec09faf,🍁【あなたが明日、天皇に❓】常識を覆す新・日本国憲法草案‼😱🍀🍁【禁断の「もしも」】天皇（AI）が選ぶ「来世の職業」がヤバすぎる‼😅🍁皇室を支える「黒田家」の怪しい空気：現代に蘇る天才軍師の影❓😱🍁【,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:04,1045,n9437f088a8c1,🍁🚨【封じられた正義】下妻市長はなぜ「消された」のか❓🍁極道親分と天皇陛下の来世職業トップ１０ランキング‼😱🍀🍁🚨【戦慄】ステルスAI支配の最終段階に入った❓😱🍀【AIの沈黙】最強AI「Fable5」,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:04,1057,nb7a090593f24,🍁【同時多発クマ騒動事件】犯人は誰だ❓🧐🍀🍁🚨抹殺された哲学者アガンベンが暴いた「生政治」の罠 ‼🍁🚨黒田官兵衛の「遺言」が現代日本を動かしている❓🍁天皇による憲法違反の皇室外交のウクライナ支援と皇室,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:05,1063,n871b4acb5720,🍀🍁【天安門事件の真実】なぜ中国は自国の民主化勢力のボスを追放したのか❓🍁トランプがCIAに公開させた「世界を操る３００人委員会」‼😱🍁支配層が踏み絵に生贄儀式をやる理由とは❓😱🍁フロイトが嘘で隠した,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:05,1069,n3ceede42c080,🍀おかしい巨人軍監督の家庭内の姉妹げんか仲裁から始まったスポーツ界の不祥事❓🧐🍁【大嘘つきのユダヤ民族】20世紀に創作されたユダヤ民族と聖書‼😱🍁いまだにつかまらない闇バイトの深層‼🍁陰謀界の巨人 船,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:06,1075,n69258ad338c3,🍀🍁特集【悪の倫理哲学】現代哲学から読み解くバチカン・天皇ら悪魔の思想❓😱🍁トクリュウの裏のボスは天皇かマッキンゼー・マフィア❓😱山火事や寺社の火事・災難は地元の警察か消防❓😱🍁トランプをディする雅子,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:06,1081,n3b5f1dee90e8,🍀【ヘッジファンド化した国立大学】ノーベル賞の京大の山中教授もカネ儲け優先の御用学者❓🍀🍁統一教会終焉の裏で完成する「司法圧力」と「新・宗教政治」‼🍁「イランの明治維新」を潰したイギリスの罠：ガーター,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:07,1093,n465b122278db,🍀また岩手県の大槌町役場の近くで山火事：今度はクマで鎮火できず❓🍁イランのホルムズ海峡封鎖やオイルダラーで儲けてきたロイズ保険と裏のヨーロッパ王族、天皇、国連のヤクザの連中❓🍁【アンコールワットの秘密,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:07,1099,n03228b2e35bb,🍀今上天皇によるコロナワクチンを使った大量虐殺の証拠❓😱🍀🍁今上天皇の金塊をめぐる証拠隠滅のための暗殺の数々‼😱🍁バチカンの攻撃に信長＆光秀も逃げ込んだ阿波の秘密❓🧐🍁天皇制の是非を議論させない仕組み,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:08,1105,n5be95532b4d4,🍀🍁【衝撃のAIプロファイリング】旭山動物園「妻を焼却炉へ」‼🍁【イラン戦争の衝撃】食糧とエネルギーの崩壊は「設計」されているのか❓😱🍁書き換えられた日本史：阿波が本拠地で奈良は出張所（土御門上皇の御,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:08,1109,na0f0c84c4afe,🍀CNNが広めたイスラエル国防軍シャツのトランプ暗殺未遂犯❓🍁頻発する山火事の真実：「消さない」消防と「追わない」警察‼😱🍀🍁インドメディア「イスラエルはトランプを殺害しようとしたのか❓」🧐🍁トランプ,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:09,1117,n57ef79dc60e9,🍀🍁🚨緊急追加【山梨キャンプ場女児失踪事件】驚愕のAIの推理禁止と「京都小学生養父殺人事件」類似点‼😱🍀🔥山火事などの放火犯さへも捜査できない権力構造の闇❣😱🍁【イルミナティ悪魔の13血流】第3巻「光,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:09,1121,n3bbb44112048,🍁❓まだテレビの「イラン脅威論」を信じてるの：戦争の裏で糸を引く国際銀行家たちの「超巨大バブル崩壊」計画📉💥🍁「本能寺の変」は「バチカンによる変」など：イエズス会の占領軍と戦国武将の戦い‼😱🍀月面着陸,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:10,1127,neb49d0891a54,🍀イギリスで進む貴族政治の排除：皇室典範改正のスピンだった京都小５養父殺人事件❓😱🍀🍁第3弾【京都 まま父・子ども殺害事件】マスコミ・警察が隠すこと❣🍁天皇部落・同和（技能集団）の革命が非人の天皇（祭,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:10,1131,na888253dd775,🍁第2弾【京都・南丹市 小学生男児 行方不明事件】日常の裏側に潜む「あまりに不自然な」戦慄‼😱🍁トランプが計算しつくして実行した「計画的解体」： 帝国を壊し要塞を築く‼😱🍁イエズス会の宣教師が発見した,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:11,1139,n22d14bd05721,🍀🍁【京都 小５男児行方不明】もう誰もが犯人を知ってる行方不明事件❓😱🍁【大北米化計画と新世界秩序の崩壊】イランと戦ってる様に見せるトランプの本心‼😱🍁大統領就任式で聖書に誓わなかったトランプの本意‼,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:11,1145,n953b0b169643,🍀🚨ビル・ゲイツ裁判の衝撃：法廷で明かされた「パンデミック・シナリオ」の裏側‼😱🍀🍁ナイチンゲールになった島津家の「からゆきさん」から明治維新をイギリスで指示した島津斉彬と幕府 津山藩の箕作家‼😱🍁🚨,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:12,1153,n1d9f016effcd,🍀🕵️月面着陸捏造説とNASAの隠蔽工作‼😱🍀👹【生贄の系譜と日赤の怪しげな仲間たち】 PCR検査の裏から日本の皇室まで…あなたが知らない「この国の本当の姿」‼😱🍀🍁歴史検証：ナイチンゲールは薩摩藩島,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:12,1159,n6418aa901e24,🍀トランプのおかげで女性がロス五輪から守られる‼😊🍀🍁窮地のイスラエルはイランに滅ぼされる❓😱🍁トランプはイスラエルを救うペルシャのキュロス王❓😊🍁ユダヤの陰謀：シオン議定書通りにすすむ世の中の不気味,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:13,1165,n5d547b2be2e3,🍀AIの攻撃は報道せず：昨日も首都ドバイのアラブ首長国連邦で人工台風❓🍀🍁大英帝国の旧DSのAIと戦うチェス名人テイト❓😅🍁旧DS大英帝国・イスラエル側から新DSトランプへの攻撃がトランプ支持側からも,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:13,1167,n6fa614098d3d,🍁わかってきたイランからトランプへの「贈り物」‼🍀🍁【AIはもはや「道具」ではない】生産性20倍の衝撃と、密かに進む「シリコン生命体」への転換点‼😱🍀🤫【日本も株式会社】総理大臣ではなく天皇がトップに,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:14,1171,n49e5d6b4ad86,🍀🍁金融マフィアの暗号通貨のハブ拠点は日本のどこ❓🍁チェス名人テイトが1年後のAI支配完成で焦ってる❓🍁イランが寸止めのイスラエル原発ミサイル攻撃：トランプ瀬戸際外交のディールは失敗❓🍁タッカー・カー,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:14,1175,nd39b9f1fea2e,🍀これ聞くだけでメジャーリーグの八百長が避けられない構造がくっきり‼😅🍀🍁🤖AIがビットコインを作った❓😱❣🍀アメリカの市民メディアの市民放送権とユニバーサル・アクセス権の調査‼🍀韓国ではWBCがテレ,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:15,1181,n6e1e40f48d85,🍀お題：WBC「ワールドなビジネスありき茶番劇」‼😅🍀CIA芸能事務所のフロント企業WBC、MLBなど‼😱🍀🍁AIを使い「アメリカ株式会社」を法的に解明：人は商品だった‼😱🍁メディアが葬り去った「イラ,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:15,1187,n743303f7d21b,🍀WBCの目的と大谷翔平の役割‼🍀🍁イラン最高指導者は西側の工作員‼😱🍁QチームもAIでアメリカ株式会社を立証‼🍀ローマ帝国は贅沢で滅んだのでない：現代人が誤解している「パンとサーカス」の真実‼🍀WB,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:16,1193,nc6d9555e84a3,🍀国民のプライバシーをAIパランティアに献上する高市首相‼🍁エプスタイン事件のドン深闇：諜報、政財界、組織犯罪のネットワーク‼🍀改めて3.11関連の報道は嘘ばかり‼🍀🍁大英帝国（モサド）「大いなる同胞,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:16,1197,n0200c8072490,🍀🍁【特集3.11：日本最初の福島原爆】☢️福島原発事故、メディアが消した「また」という一言と消えた作業員たちの謎‼😱🍁🚨【3.11日本最初の福島原爆】3.11人工地震と核兵器の隠蔽工作‼😱🍀３．１１,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:17,1199,nc01fead01e1b,🍁トランプの影の戦争：イランの中のモサド・MI6（最高指導者＆革命防衛隊）とイスラエル工作員の粛清‼😱🍀京都に潜むエプスタインの仲間達：会田夫妻と雅子さま❓🧐🍀🍁ユダヤの2重支配構造：反ユダヤのオーウ,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:17,1201,nc18c3d8b87f8,🚨🍀🍁続【イラン・エプスタイン戦争】😱🍀🍁敵は本能寺：イランを動かすグローバル金融支配の大英帝国❣🍁インドで国際観艦式の帰りイラン艦艇を米潜水艦が撃沈❣🍁パランティアAI支配：実はグローバル支配を進め,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:18,1205,n70b0edb1bc88,🚨🍀🍁特集【イラン・エプスタイン戦争】わかってきたイラン戦争の実態‼😱🍀逃げ切り成功の旧統一教会：解散命令に反対するCIA創価学会、天皇教‼🍀🍁イラン戦争のおカネの動きを追え：クリントン夫妻を逮捕でき,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:18,1209,n71473b4a2c16,🚨🍀🍁【特集 イラン戦争】第3次世界大戦の始まりか、平和への序章か❓😱🍀【イラン戦争】全ての始まりはエプスタイン事件だった‼🍀🍁トランプを救世主と信じたキリスト信者らの怒りと警告‼🍁2026年エプスタ,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:19,1211,n40e4378cff4a,🍀小泉八雲は「文化スパイ」：異文化を融合させる「アマルガム戦略」‼🍀🍁【天皇解体新書】天皇らの正体と日本の成り立ち‼🍁エプスタイン文書の次はボヘミアン・グローブのリスト‼😱🍀不正選挙のAI政党「チーム,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:19,1215,n0f8367d1caa4,🍀【天皇解体新書】なぜ天皇は人を食べる鬼だと思うのか❓😱🍁【天皇解体新書】なぜ天皇は近親相姦を繰り返すのか❓😱🍀人肉食を強制される悪魔崇拝のカルト教😱🍀🍁【山本太郎解体新書】なぜ応援するのをやめたのか,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:20,1219,n285cbe2cc3af,🍀天皇誕生日と言えば日本のエプスタイン事件：プチエンジェル事件‼🍁「りくりゅう」を育てる木下グループ創業者もCIAエージェント❓🍀🍁天皇を守る在日朝鮮人の嘘八百‼🍀なぜ日本人は5歳の女の子チコちゃんに,[2471],"[2448, 2471]",dry_run_would_fix,
2026-08-16T14:07:20,1221,n798c63214916,🍀🍁CIAエージェントの「りくりゅう」：YOSHIKIやオバマ元大統領と同じ上はTKO（木下＝朴？）プロレス興行‼😱🍀エプスタインらの秘密を守る洗脳の入口：米カースト制度の大学サークル‼😱🍀【告発】浅,[2471],"[2448, 2471]",dry_run_would_fix,
